a few,a few,DT JJ,1402,0.0002513,0.027098,4383.3,38.316,5.3659
a lot,a lot,DT NN,313,5.2477e-05,0.0057359,827.14,17.419,5.093
a number,a number,DT NN,83,1.3527e-05,0.0014818,149.13,8.5727,4.0824
a well,a well,DT NN,31,5.0521e-06,0.00055339,28.934,4.6518,2.6038
a well,a well,DT RB,6,9.7783e-07,0.00010034,105.13,-55.83,-4.5724
about to,about to,IN TO,237,3.8624e-05,0.0032932,2.7368,1.4504,0.14276
about to,about to,RB TO,100,1.6297e-05,0.0014809,72.884,7.9346,2.2755
above all,above all,IN DT,74,1.2712e-05,0.0074623,160.91,8.4956,4.7157
above all,above all,IN PDT,14,2.2816e-06,0.0034385,21.826,3.4547,3.7047
above all,above all,IN RB,2,3.2594e-07,0.0035273,7.1625,1.3908,5.9167
against all odds,against all odds,IN DT NNS,1,1.6297e-07,0.00013792,0.0,0.99997,14.971
agree with,agree with,JJ IN,4,6.5189e-07,0.00020284,17.106,1.9839,6.9598
agree with,agree with,VB IN,26,4.2373e-06,0.0013151,64.413,4.9629,5.2273
agree with,agree with,VBP IN,24,3.9113e-06,0.0012158,78.801,4.8373,6.3121
all alone,all alone,DT RB,177,2.9498e-05,0.016682,405.76,13.04,5.025
all alone,all alone,RB RB,1,1.6297e-07,0.0010368,3.3396,0.938,4.0116
all at once,all at once,DT IN IN,1,1.6297e-07,5.9947e-05,0.0,0.99963,11.413
all at once,all at once,DT IN RB,140,2.9335e-05,0.0098946,0.0,13.411,11.275
all at once,all at once,RB IN RB,1,1.6297e-07,8.6197e-05,0.0,0.99919,10.27
all at once,all at once,VB IN RB,1,1.6297e-07,8.6698e-05,0.0,0.99992,13.611
all kind of,all kind of,DT NN IN,1,1.6297e-07,2.3435e-05,0.0,0.89199,3.2107
all of,all of,DT IN,343,6.2418e-05,0.0060746,3.4585,1.9041,0.14768
all of,all of,RB IN,1,1.6297e-07,1.881e-05,3.0618,-2.8561,-1.9471
all of,all of,VB IN,1,1.6297e-07,1.8846e-05,2.0463,0.61958,1.3943
all the same,all the same,DT DT JJ,1,1.6297e-07,1.0211e-05,0.0,0.68828,1.6817
all the same,all the same,PDT DT JJ,75,1.3853e-05,0.00090738,0.0,9.2073,9.5582
all the,all the,DT DT,76,1.2386e-05,0.00052121,558.24,-92.812,-3.5418
all the,all the,PDT DT,5145,0.00090303,0.039739,11702.0,70.137,4.1133
all the,all the,RB DT,2,3.2594e-07,1.4713e-05,5.9261,-5.5664,-2.3033
all the,all the,VB DT,7,1.3038e-06,5.8897e-05,11.425,2.4841,3.0381
and all,and all,CC DT,832,0.00014309,0.0080602,35.977,7.8721,0.4455
and all,and all,CC PDT,589,0.00011001,0.0065822,253.93,17.005,1.5333
and all,and all,CC RB,1,1.6297e-07,1.0096e-05,5.4775,-6.191,-2.8462
and how,and how,CC WRB,638,0.00012321,0.007348,295.69,18.228,1.5689
answer to,answer to,JJR TO,2,3.2594e-07,2.9824e-05,4.186,1.2597,3.1939
answer to,answer to,NN TO,66,1.0756e-05,0.00098018,54.106,6.6202,2.4335
