a few , 1402 , 0.0002515 , 0.02082 , 3984.1 , 38.013 , 4.9533
a lot , 313 , 5.3137e-05 , 0.0044407 , 653.92 , 17.147 , 4.3121
a number , 83 , 1.3529e-05 , 0.0011332 , 110.04 , 8.1927 , 3.3114
a well , 37 , 1.141e-05 , 0.0009022 , 60.788 , -17.378 , -1.6216
about to , 337 , 5.493e-05 , 0.0046474 , 18.603 , 5.4816 , 0.5117
above all , 90 , 1.5322e-05 , 0.0065993 , 180.2 , 9.2551 , 4.4609
against all odds , 1 , 1.63e-07 , 0.00010237 , 0.0 , 0.99995 , 14.202
agree with , 54 , 1.6789e-05 , 0.0051456 , 222.86 , 9.7907 , 4.8246
all alone , 178 , 2.9828e-05 , 0.012492 , 357.35 , 12.943 , 4.5323
all at once , 143 , 2.9991e-05 , 0.0088552 , 0.0 , 13.557 , 10.788
all kind of , 1 , 1.1247e-05 , 0.0015228 , 0.0 , 8.2868 , 8.7114
all of , 345 , 6.308e-05 , 0.0057839 , 9.7966 , -4.5773 , -0.30179
all the , 5230 , 0.000918 , 0.037591 , 4021.5 , 58.772 , 2.2052
all the same , 76 , 1.4018e-05 , 0.00085484 , 0.0 , 9.2271 , 7.6398
and all , 1422 , 0.00025346 , 0.013792 , 187.06 , 16.901 , 0.8074
and how , 638 , 0.00012339 , 0.0073511 , 291.14 , 18.141 , 1.5536
answer to , 78 , 1.5159e-05 , 0.0013445 , 1.7816 , 0.31268 , 0.047552
any day , 21 , 3.5859e-06 , 0.0028289 , 6.7249 , 2.6234 , 1.1822
anything but , 161 , 2.6243e-05 , 0.0076692 , 183.59 , 11.227 , 3.1183
apart from , 38 , 7.6609e-06 , 0.0062734 , 158.34 , 6.7923 , 6.7577
apple tree , 48 , 1.0921e-05 , 0.033677 , 256.71 , 8.1449 , 7.6596
ask of , 29 , 9.6168e-06 , 0.0010431 , 17.967 , -7.7591 , -1.0073
at all , 1647 , 0.00027383 , 0.058329 , 2413.3 , 37.695 , 3.6379
at first , 392 , 0.00011442 , 0.040198 , 1525.9 , 25.596 , 4.8813
at first glance , 3 , 8.1498e-07 , 0.00042026 , 0.0 , 2.2347 , 10.717
at heart , 47 , 7.8239e-06 , 0.0028206 , 14.708 , 4.1213 , 1.3035
at home , 652 , 0.00010839 , 0.037202 , 1319.3 , 24.707 , 4.5773
at last , 1543 , 0.00034963 , 0.12211 , 6992.1 , 45.778 , 6.4332
at least , 718 , 0.00014132 , 0.0551 , 3209.5 , 29.211 , 6.9783
at once , 1739 , 0.0002885 , 0.10173 , 5518.9 , 41.52 , 6.2541
at random , 12 , 1.956e-06 , 0.00079782 , 50.666 , 3.4429 , 7.3508
at that , 401 , 7.8891e-05 , 0.010225 , 35.362 , 7.608 , 0.61224
at the moment , 43 , 7.9869e-06 , 0.00048254 , 0.0 , 6.9236 , 6.5179
at the other , 80 , 1.3529e-05 , 0.00080757 , 0.0 , 8.9635 , 5.9546
at the same time , 177 , 3.4229e-05 , 0.0026636 , 0.0 , 14.491 , 17.922
at the time , 88 , 1.5974e-05 , 0.00093872 , 0.0 , 9.6576 , 5.355
back up , 20 , 3.9119e-06 , 0.0018618 , 1.7659 , 0.25199 , 0.076185
bad luck , 20 , 5.2159e-06 , 0.023273 , 127.94 , 5.6333 , 7.9081
base on , 1 , 1.63e-07 , 6.6234e-05 , 2.1998 , 0.71018 , 1.7868
be a man , 14 , 3.5533e-05 , 0.0019694 , 0.0 , 14.349 , 5.1502
be about , 17 , 8.704e-05 , 0.0056865 , 60.527 , 9.6191 , 0.7766
be at , 95 , 0.00015615 , 0.0092526 , 5.845 , 2.9241 , 0.14317
be for , 69 , 7.9217e-05 , 0.0044055 , 278.75 , -35.048 , -1.3728
be good for , 20 , 1.7278e-05 , 0.0013776 , 0.0 , 10.092 , 5.6629
be in , 197 , 0.00050578 , 0.025158 , 233.47 , 19.62 , 0.62642
be inside , 11 , 1.0921e-05 , 0.00075386 , 29.818 , 5.5699 , 1.646
be like that , 9 , 3.9119e-06 , 0.00028295 , 0.0 , 4.1023 , 2.6204
be on one , 1 , 9.7798e-07 , 7.9419e-05 , 0.0 , 1.3213 , 1.1184
be out , 45 , 9.7635e-05 , 0.0061638 , 9.9025 , 4.0188 , 0.25878
be sure to , 102 , 3.1621e-05 , 0.0018524 , 0.0 , 13.795 , 6.7054
because of , 231 , 3.9119e-05 , 0.0043567 , 120.03 , 11.139 , 1.8313
blow in , 5 , 4.5639e-06 , 0.00079159 , 8.3009 , 2.9824 , 1.1963
boa constrictor , 2 , 3.2599e-07 , 0.4 , 25.514 , 1.4142 , 19.549
break in , 18 , 1.6952e-05 , 0.0029094 , 76.901 , 8.167 , 2.328
break into , 59 , 1.4996e-05 , 0.014771 , 196.17 , 9.2621 , 4.8631
bring back , 47 , 1.6952e-05 , 0.01807 , 195.92 , 9.7317 , 4.4508
bring to , 3 , 1.8419e-05 , 0.0016378 , 6.2562 , 2.8752 , 0.45496
broke into , 7 , 1.141e-06 , 0.0013112 , 23.706 , 2.6169 , 6.5203
burst into , 138 , 2.4613e-05 , 0.027085 , 565.86 , 12.215 , 7.3968
by chance , 22 , 3.9119e-06 , 0.003 , 31.24 , 4.4102 , 3.3251
call out , 245 , 4.8247e-05 , 0.027295 , 584.07 , 16.492 , 4.5928
can do , 413 , 6.7318e-05 , 0.016941 , 429.81 , 17.679 , 2.9426
care for , 226 , 5.6397e-05 , 0.015101 , 669.2 , 17.76 , 4.4665
carry out , 27 , 1.2714e-05 , 0.0080259 , 115.29 , 8.1641 , 3.7254
catch out , 2 , 3.2599e-07 , 0.00020298 , 3.6983 , -3.2936 , -1.7351
catch sight of , 129 , 2.282e-05 , 0.0038075 , 0.0 , 11.831 , 13.621
caught sight of , 4 , 6.5199e-07 , 0.00011107 , 0.0 , 1.9998 , 13.283
clean out , 27 , 6.6829e-06 , 0.004579 , 84.904 , 6.1575 , 4.7044
close up , 19 , 5.0529e-06 , 0.0031678 , 30.85 , 4.7577 , 2.781
